UID,NUM_VALUE,NOTES
0,9440,The quick brown fox jumps over the lazy dog
1,5342,The quick brown fox jumps over the lazy dog
2,4639,The quick brown fox jumps over the lazy dog
3,9591,The quick brown fox jumps over the lazy dog
4,6889,The quick brown fox jumps over the lazy dog
5,356,The quick brown fox jumps over the lazy dog
6,3286,The quick brown fox jumps over the lazy dog
7,3546,The quick brown fox jumps over the lazy dog
8,5775,The quick brown fox jumps over the lazy dog
9,7099,The quick brown fox jumps over the lazy dog
